Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
18/11/00,Derby,Bradford,2.0,0.0,H,0.0,0.0,D
18/11/00,Everton,Arsenal,2.0,0.0,H,0.0,0.0,D
18/11/00,Leeds,West Ham,0.0,1.0,A,0.0,1.0,A
18/11/00,Man City,Man United,0.0,1.0,A,0.0,1.0,A
18/11/00,Middlesbrough,Leicester,0.0,3.0,A,0.0,2.0,A
18/11/00,Newcastle,Sunderland,1.0,2.0,A,1.0,0.0,H
18/11/00,Southampton,Aston Villa,2.0,0.0,H,2.0,0.0,H
19/11/00,Tottenham,Liverpool,2.0,1.0,H,2.0,1.0,H
20/11/00,Coventry,Ipswich,0.0,1.0,A,0.0,0.0,D
25/11/00,Charlton,Sunderland,0.0,1.0,A,0.0,0.0,D
25/11/00,Coventry,Aston Villa,1.0,1.0,D,0.0,1.0,A
25/11/00,Derby,Man United,0.0,3.0,A,0.0,0.0,D
25/11/00,Everton,Chelsea,2.0,1.0,H,0.0,1.0,A
25/11/00,Man City,Ipswich,2.0,3.0,A,0.0,2.0,A
25/11/00,Middlesbrough,Bradford,2.0,2.0,D,0.0,2.0,A
25/11/00,Southampton,West Ham,2.0,3.0,A,1.0,2.0,A
25/11/00,Tottenham,Leicester,3.0,0.0,H,2.0,0.0,H
26/11/00,Leeds,Arsenal,1.0,0.0,H,0.0,0.0,D
26/11/00,Newcastle,Liverpool,2.0,1.0,H,1.0,0.0,H
02/12/00,Arsenal,Southampton,1.0,0.0,H,0.0,0.0,D
02/12/00,Aston Villa,Newcastle,1.0,1.0,D,1.0,0.0,H
02/12/00,Bradford,Coventry,2.0,1.0,H,0.0,0.0,D
02/12/00,Ipswich,Derby,0.0,1.0,A,0.0,1.0,A
02/12/00,Leicester,Leeds,3.0,1.0,H,3.0,0.0,H
02/12/00,Liverpool,Charlton,3.0,0.0,H,1.0,0.0,H
02/12/00,Man United,Tottenham,2.0,0.0,H,1.0,0.0,H
02/12/00,West Ham,Middlesbrough,1.0,0.0,H,1.0,0.0,H
03/12/00,Chelsea,Man City,2.0,1.0,H,2.0,0.0,H
04/12/00,Sunderland,Everton,2.0,0.0,H,1.0,0.0,H
09/12/00,Arsenal,Newcastle,5.0,0.0,H,2.0,0.0,H
09/12/00,Bradford,Tottenham,3.0,3.0,D,1.0,2.0,A
09/12/00,Charlton,Man United,3.0,3.0,D,1.0,2.0,A
09/12/00,Chelsea,Derby,4.0,1.0,H,3.0,0.0,H
09/12/00,Man City,Everton,5.0,0.0,H,3.0,0.0,H
09/12/00,Southampton,Leeds,1.0,0.0,H,1.0,0.0,H
09/12/00,Sunderland,Middlesbrough,1.0,0.0,H,0.0,0.0,D
09/12/00,West Ham,Aston Villa,1.0,1.0,D,1.0,1.0,D
